CNTYNAMB,STATE_CD,CODE,BANKCOUNT,ASSET,STATE_BANKCOUNT,STATE_ASSET_SUM
Anchorage,AK,us-ak-020,1,1493919,3,2253048
Fairbanks North Star,AK,us-ak-090,1,269997,3,2253048
Ketchikan Gateway,AK,us-ak-130,1,489132,3,2253048
Autauga,AL,us-al-001,1,447765,116,236323912
Baldwin,AL,us-al-003,1,95378,116,236323912
Barbour,AL,us-al-005,1,132754,116,236323912
Blount,AL,us-al-009,1,320054,116,236323912
Bullock,AL,us-al-011,2,192534,116,236323912
Calhoun,AL,us-al-015,4,909129,116,236323912
Chambers,AL,us-al-017,1,133550,116,236323912
Chilton,AL,us-al-021,1,164872,116,236323912
Clarke,AL,us-al-025,2,759992,116,236323912
Clay,AL,us-al-027,1,214997,116,236323912
Coffee,AL,us-al-031,1,118432,116,236323912
Colbert,AL,us-al-033,2,1737340,116,236323912
Conecuh,AL,us-al-035,1,57037,116,236323912
Covington,AL,us-al-039,3,675524,116,236323912
Crenshaw,AL,us-al-041,2,295766,116,236323912
Cullman,AL,us-al-043,5,1423810,116,236323912
Dale,AL,us-al-045,1,85567,116,236323912
Dallas,AL,us-al-047,1,93500,116,236323912
DeKalb,AL,us-al-049,6,496926,116,236323912
Elmore,AL,us-al-051,1,327810,116,236323912
Escambia,AL,us-al-053,4,682757,116,236323912
Etowah,AL,us-al-055,2,356793,116,236323912
Fayette,AL,us-al-057,1,191444,116,236323912
Franklin,AL,us-al-059,3,1737727,116,236323912
Geneva,AL,us-al-061,2,193452,116,236323912
Greene,AL,us-al-063,1,62906,116,236323912
Hale,AL,us-al-065,3,279337,116,236323912
Henry,AL,us-al-067,1,106706,116,236323912
Houston,AL,us-al-069,4,823479,116,236323912
Jackson,AL,us-al-071,3,956614,116,236323912
Jefferson,AL,us-al-073,10,210289535,116,236323912
Lamar,AL,us-al-075,3,321188,116,236323912
Lauderdale,AL,us-al-077,2,282719,116,236323912
Lee,AL,us-al-081,2,1062613,116,236323912
Limestone,AL,us-al-083,1,161150,116,236323912
Madison,AL,us-al-089,2,704924,116,236323912
Marengo,AL,us-al-091,3,436850,116,236323912
Marion,AL,us-al-093,3,514321,116,236323912
Marshall,AL,us-al-095,4,868743,116,236323912
Monroe,AL,us-al-099,1,59358,116,236323912
Morgan,AL,us-al-103,1,334480,116,236323912
Perry,AL,us-al-105,1,245786,116,236323912
Pickens,AL,us-al-107,2,796786,116,236323912
