"AGENCY_NAME","QUESTION_LABEL","AMOUNT_2015","AMOUNT_2014"
"Alabama State Banking Department","Total Budget Approved","          $16,749,000.00","          $15,025,000.00"
"Alabama State Banking Department","Department actual income for the previous Fiscal Year budget?","          $12,138,550.78","          $20,432,039.44"
"Alabama State Banking Department","Department actual expenditures for the previous Fiscal Year budget?","          $16,321,179.80","          $13,439,344.15"
"Alabama State Banking Department","Amount Allocated to Commercial Bank Supervision","          $13,403,000.00","          $11,935,000.00"
"Alabama State Banking Department","Department/Division Total Non-depository Budget","           $3,346,000.00","           $3,090,000.00"
"Alaska Division of Banking and Securities","Total Budget Approved","           $3,586,000.00","           $3,622,000.00"
"Alaska Division of Banking and Securities","Department actual income for the previous Fiscal Year budget?","           $3,255,800.00","           $3,388,155.00"
"Alaska Division of Banking and Securities","Department actual expenditures for the previous Fiscal Year budget?","           $3,255,800.00","           $3,388,155.00"
"Alaska Division of Banking and Securities","Department/Division Total Non-depository Budget","                   $0.00","             $554,203.00"
"Arizona Department of Financial Institutions","Total Budget Approved","           $5,287,100.00","           $4,267,600.00"
"Arizona Department of Financial Institutions","Department actual income for the previous Fiscal Year budget?","           $7,970,510.00","           $7,471,211.00"
"Arizona Department of Financial Institutions","Department actual expenditures for the previous Fiscal Year budget?","           $4,138,811.00","           $3,893,667.00"
"Arizona Department of Financial Institutions","Amount Allocated to Commercial Bank Supervision","             $506,544.00","             $503,476.00"
"Arizona Department of Financial Institutions","Department/Division Total Non-depository Budget","           $4,269,146.00","           $3,259,033.00"
"Arkansas State Bank Department","Total Budget Approved","           $9,312,882.00","           $9,013,210.00"
"Arkansas State Bank Department","Department actual income for the previous Fiscal Year budget?","           $8,464,051.00","           $8,699,262.00"
"Arkansas State Bank Department","Department actual expenditures for the previous Fiscal Year budget?","           $7,828,253.00","           $8,362,657.00"
"Arkansas State Bank Department","Amount Allocated to Commercial Bank Supervision","           $4,752,302.00","           $4,549,979.00"
"Arkansas State Bank Department","Department/Division Total Non-depository Budget","                   $0.00","                   $0.00"
"California Department of Business Oversight","Total Budget Approved","          $91,657,000.00","          $86,278,000.00"
"California Department of Business Oversight","Department actual income for the previous Fiscal Year budget?","          $87,856,353.00","          $76,030,000.00"
"California Department of Business Oversight","Department actual expenditures for the previous Fiscal Year budget?","          $81,516,000.00","          $76,030,000.00"
"California Department of Business Oversight","Amount Allocated to Commercial Bank Supervision","          $25,983,000.00","          $24,963,000.00"
"California Department of Business Oversight","Department/Division Total Non-depository Budget","          $22,074,000.00","          $13,319,000.00"
"Colorado Division of Banking","Total Budget Approved","           $5,706,485.00","           $5,532,560.00"
