"ACCOUNT","ACCR_CATEG","QUESTION_LABEL","RESPONSE_2015","RESPONSE_2014","RESPONSE_2013","AVG_2015","AVG_2014","AVG_2013"
"Alabama SBD","General Agency Information","Credit Card Banks -- Authority to Supervise","Yes","Yes","Yes",0.48,0.48,0.48
"Alabama SBD","General Agency Information","Credit Card Banks: Number Superviseded","0","0","0",0.16,0,0.16
"Alabama SBD","General Agency Information","Credit Unions -- Authority to Supervise","No","No","No",0.33,0.33,0.33
"Alabama SBD","General Agency Information","Credit Unions: Number Superviseded","0","0","0",0,0,0
"Alabama SBD","General Agency Information","Does your department currently have a fee sharing agreement with another state?","Yes","Yes","Yes",0.3,0.3,0.3
"Alabama SBD","General Agency Information","Does your department have a dedicated fund (e.g., a separate and distinct account from the state general fund?)","0","0","0",0,0,0
"Alabama SBD","General Agency Information","Industrial Loan Corporations -- Number Supervised","0","0","0",3.68,0,4.11
"Alabama SBD","General Agency Information","Industrial Loan Corporations -- NumberSupervised","0","0","0",0,3.89,0
"Alabama SBD","General Agency Information","Is any part of your examination staff unionized?","No","No","No",0.63,0.63,0.63
"Alabama SBD","General Agency Information","Is your department independent, or part of a larger agency?","Independent","Independent","Independent",0.4,0.4,0.41
"Alabama SBD","General Agency Information","Multi-Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.57,0.57,0.59
"Alabama SBD","General Agency Information","One Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.64,0.64,0.64
"Alabama SBD","Budget Information","Actual Expenditures","16321180","13439344","13865913",11851967,11071164,9704831
"Alabama SBD","Budget Information","Amount Allocated to Commercial Bank Supervision","13403000","11935000","12013000",4837836,5336813,4979506
"Alabama SBD","Budget Information","Amount Returned to General Fund","2500000","0","0",83398256,10574719,10546900
"Alabama SBD","Budget Information","Budgeted Training Expense","262760","236200","240000",159087,165044,154024
"Alabama SBD","Budget Information","Dedicated Fund","Yes","Yes","0",0.74,0.7,0
"Alabama SBD","Budget Information","Does your department charge an hourly bank examination fee?","No","No","No",0.59,0.56,0.5
"Alabama SBD","Budget Information","Hourly Fee","0","0","0",0,0,30
"Alabama SBD","Budget Information","If yes, does this include specialty examinations (e.g., Trust, IT, etc.)? -- Hourly Fee","0","0","0",0,0,49
"Alabama SBD","Budget Information","Total Budget Approved","16749000","15025000","15053500",12759425,13042590,12791104
"Alabama SBD","Sources of Funding","Insurance","0.0","0.0","0.0",0.76,0.82,0.82
"Alabama SBD","Sources of Funding","Insured Depositories Below $10 Billion","23.0","18.0","13.0",39.68,42.14,40.92
"Alabama SBD","Sources of Funding","Insured Depositories Over $10 Billion","50.0","68.0","53.0",9.76,9.07,10.81
"Alabama SBD","Sources of Funding","Securities","0.0","0.0","0.0",7.46,8.41,7.04
