YEAR,STATE,N_PF_EXAMINER,N_PF_BANK,PF_TOTAL_ASSET
2015,Alabama,65,115,2.45E+11
2014,Alabama,64,117,2.30E+11
2013,Alabama,60,116,217647821
2015,Alaska,4,,
2014,Alaska,3,,
2013,Alaska,3,,
2015,Arizona,10,,
2014,Arizona,10,,
2013,Arizona,10,,
2015,Arkansas,45,,
2014,Arkansas,43,,
2013,Arkansas,47,,
2015,California,95,,
2014,California,,,
2013,California,94,,
2015,Colorado,22,,
2014,Colorado,23,,
2013,Colorado,24,,
2015,Connecticut,21,,
2014,Connecticut,40,,
2013,Connecticut,19,,
2015,Delaware,16,13,1.31E+11
2014,Delaware,16,13,1.23E+11
2013,Delaware,16,13,111634051
2014,District of Columbia,10,,
2013,District of Columbia,7,,
2015,Florida,,,
2014,Florida,0,,
2013,Florida,0,,
2015,Georgia,53,,
2014,Georgia,58,,
2013,Georgia,63,,
2015,Guam,0,,
2014,Guam,17,,
2013,Guam,6,,
2015,Hawaii,19,6,42386009000
2014,Hawaii,22,7,40193267000
2013,Hawaii,17,6,35644872
2015,Idaho,10,,
2014,Idaho,9,,
2013,Idaho,10,,
2015,Illinois,80,,
2014,Illinois,85,,
2013,Illinois,93,,
2015,Indiana,19,,
2014,Indiana,60,,
2013,Indiana,21,,
2015,Iowa,0,,
2014,Iowa,52,,
2013,Iowa,47,,
2015,Kansas,54,,
2014,Kansas,,,
2013,Kansas,69,,
2015,Kentucky,36,,
2014,Kentucky,58,,
2013,Kentucky,34,,
2015,Louisiana,44,,
2014,Louisiana,,,
2013,Louisiana,57,,
2015,Maine,9,19,16459967000
2014,Maine,9,19,3117594818
2013,Maine,9,19,14841164
2015,Maryland,16,,
2014,Maryland,56,,
2013,Maryland,17,,
2015,Massachusetts,108,,
2014,Massachusetts,143,,
2013,Massachusetts,113,,
2015,Michigan,27,,
2014,Michigan,30,,
2013,Michigan,112,,
2015,Minnesota,21,256,43407235000
2014,Minnesota,22,263,43560099000
2013,Minnesota,21,276,41086430
2015,Mississippi,33,,
2014,Mississippi,47,,
2013,Mississippi,33,,
2015,Missouri,90,,
2014,Missouri,91,,
2013,Missouri,88,,
2015,Montana,11,,
2014,Montana,21,,
2013,Montana,20,,
2015,Nebraska,29,,
2014,Nebraska,29,,
2013,Nebraska,32,,
2015,Nevada,30,,
2014,Nevada,34,,
2013,Nevada,31,,
2015,New Hampshire,18,,
2014,New Hampshire,10,,
2013,New Hampshire,11,,
2015,New Jersey,23,,
2014,New Jersey,72,,
2013,New Jersey,25,,
2015,New Mexico,5,,
2014,New Mexico,8,,
2013,New Mexico,13,,
2015,New York,418,,
2014,New York,336,,
2013,New York,365,,
2015,North Carolina,47,55,2.86E+11
2014,North Carolina,49,59,2.44E+11
2013,North Carolina,49,63,236772515
2015,North Dakota,15,,
2014,North Dakota,40,,
2013,North Dakota,14,,
2015,Ohio,46,,
2014,Ohio,40,,
2013,Ohio,36,,
2015,Oklahoma,31,,
2014,Oklahoma,28,,
2013,Oklahoma,28,,
2015,Oregon,10,,
2014,Oregon,25,,
2013,Oregon,13,,
2015,Pennsylvania,70,,
2014,Pennsylvania,73,,
2013,Pennsylvania,71,,
2015,Puerto Rico,18,,
2014,Puerto Rico,28,,
2013,Puerto Rico,21,,
2015,Rhode Island,9,,
2014,Rhode Island,12,,
2013,Rhode Island,11,,
2015,South Carolina,11,,
2014,South Carolina,18,,
2013,South Carolina,13,,
2015,South Dakota,21,,
2014,South Dakota,17,,
2013,South Dakota,18,,
2015,Tennessee,53,149,57821595000
2014,Tennessee,44,153,54050381000
2013,Tennessee,39,153,51067826
2015,Texas,111,,
2014,Texas,114,,
2013,Texas,109,,
2015,Texas,14,,
2014,Texas,19,,
2013,Texas,22,,
2015,Utah,40,,
2014,Utah,38,,
2013,Utah,38,,
2015,Vermont,10,,
2014,Vermont,10,,
2013,Vermont,9,,
2015,Virginia,35,75,238592918
2014,Virginia,35,76,62883218708
2013,Virginia,34,85,60178052
2015,Washington,24,,
2014,Washington,35,,
2013,Washington,23,,
2015,West Virginia,16,,
2014,West Virginia,17,,
2013,West Virginia,16,,
2015,Wisconsin,22,,
2014,Wisconsin,22,,
2013,Wisconsin,21,,
2015,Wyoming,9,,
2014,Wyoming,9,,
2013,Wyoming,12,,
