"YEAR","REPDTE","STATE","N_SDI_BANK","SDI_TOTAL_ASSET"
2015,31-DEC-15 12.00.00.000000000 AM,"Alabama",115,244498405
2014,31-DEC-14 12.00.00.000000000 AM,"Alabama",117,229774823
2013,31-DEC-13 12.00.00.000000000 AM,"Alabama",116,217648915
2015,31-DEC-15 12.00.00.000000000 AM,"Alaska",4,2670861
2014,31-DEC-14 12.00.00.000000000 AM,"Alaska",4,2552375
2013,31-DEC-13 12.00.00.000000000 AM,"Alaska",4,2291029
2015,31-DEC-15 12.00.00.000000000 AM,"Arizona",12,16707292
2014,31-DEC-14 12.00.00.000000000 AM,"Arizona",12,12734029
2013,31-DEC-13 12.00.00.000000000 AM,"Arizona",14,11691263
2015,31-DEC-15 12.00.00.000000000 AM,"Arkansas",82,59341797
2014,31-DEC-14 12.00.00.000000000 AM,"Arkansas",84,52453189
2013,31-DEC-13 12.00.00.000000000 AM,"Arkansas",92,50276957
2015,31-DEC-15 12.00.00.000000000 AM,"California",149,391512528
2014,31-DEC-14 12.00.00.000000000 AM,"California",160,356508173
2013,31-DEC-13 12.00.00.000000000 AM,"California",167,311992519
2015,31-DEC-15 12.00.00.000000000 AM,"Colorado",71,45009335
2014,31-DEC-14 12.00.00.000000000 AM,"Colorado",76,43116780
2013,31-DEC-13 12.00.00.000000000 AM,"Colorado",75,39652415
2015,31-DEC-15 12.00.00.000000000 AM,"Connecticut",32,33218729
2014,31-DEC-14 12.00.00.000000000 AM,"Connecticut",32,31032531
2013,31-DEC-13 12.00.00.000000000 AM,"Connecticut",31,24405783
2015,31-DEC-15 12.00.00.000000000 AM,"Delaware",13,131458330
2014,31-DEC-14 12.00.00.000000000 AM,"Delaware",13,123166305
2013,31-DEC-13 12.00.00.000000000 AM,"Delaware",13,111532340
2015,31-DEC-15 12.00.00.000000000 AM,"District of Columbia",2,1617455
2014,31-DEC-14 12.00.00.000000000 AM,"District of Columbia",2,1440862
2013,31-DEC-13 12.00.00.000000000 AM,"District of Columbia",2,1291015
2015,31-DEC-15 12.00.00.000000000 AM,"Federated States of Micronesia",1,129106
2014,31-DEC-14 12.00.00.000000000 AM,"Federated States of Micronesia",1,124496
2013,31-DEC-13 12.00.00.000000000 AM,"Federated States of Micronesia",1,112156
2015,31-DEC-15 12.00.00.000000000 AM,"Florida",109,58691830
2014,31-DEC-14 12.00.00.000000000 AM,"Florida",124,53249390
2013,31-DEC-13 12.00.00.000000000 AM,"Florida",138,55684449
2015,31-DEC-15 12.00.00.000000000 AM,"Georgia",158,277173588
2014,31-DEC-14 12.00.00.000000000 AM,"Georgia",174,272984619
2013,31-DEC-13 12.00.00.000000000 AM,"Georgia",182,255330772
2015,31-DEC-15 12.00.00.000000000 AM,"Guam",3,2023127
2014,31-DEC-14 12.00.00.000000000 AM,"Guam",3,1924424
2013,31-DEC-13 12.00.00.000000000 AM,"Guam",3,1745741
2015,31-DEC-15 12.00.00.000000000 AM,"Hawaii",6,42386009
2014,31-DEC-14 12.00.00.000000000 AM,"Hawaii",7,40193267
2013,31-DEC-13 12.00.00.000000000 AM,"Hawaii",6,36671082
2015,31-DEC-15 12.00.00.000000000 AM,"Idaho",11,4635672
2014,31-DEC-14 12.00.00.000000000 AM,"Idaho",11,4446492
2013,31-DEC-13 12.00.00.000000000 AM,"Idaho",14,5676954
2015,31-DEC-15 12.00.00.000000000 AM,"Illinois",361,268705223
2014,31-DEC-14 12.00.00.000000000 AM,"Illinois",381,254041575
