"State","Value"
"AL",1.92246911570296
"AK",-88.3920950190307
"AZ",-10.1822758594651
"AR",37.6825559290032
"CA",1.89246374080591
"CO",-9.48849673947957
"CT",20.9113754176302
"DE",-90.0255681561069
"PR",29.231084697809
"GA",-42.068001728661
"HI",23.797872023274
"ID",11.4735687250216
"IL",-28.1395647425926
"IN",-41.475083908991
"IA",-11.1828106006912
"KS",18.3176775264702
"KY",5.79025807469356
"LA",27.1046980510539
"ME",-32.9357325512241
"MD",-8.61160899987234
"MA",21.2228951603091
"MI",4.23489435199827
"MN",-136.348196351664
"MS",16.9693529843157
"MO",30.4827773109027
"MT",-67.566919836165
"NE",-24.5689289260354
"NV",67.2600824677948
"NH",43.119584940646
"NJ",-36.7287456365332
"NM",-152.962546703785
"NC",-29.3914016213492
"ND",-30.8730202054323
"OH",-14.7184773383015
"OK",-15.7063881133745
"OR",-47.8648809937505
"PA",27.4973272955345
"PR",6.43075298291506
"RI",1.58625491761267
"SC",-56.0731912322641
"SD",12.409024584122
"TN",29.7365432648522
"TX",28.3500132792535
"UT",-45.8361463386045
"VT",16.9855358641629
"VA",21.5862172460266
"WA",9.84189826925661
"WV",-12.004950240088
"WI",-96.8341444619275
"WY",-23.5751037099899
