"State","Value"
"AL",3.40481847209514
"AK",-82.1364935148327
"AZ",-6.40075801339145
"AR",35.5543551164581
"CA",10.8834290638839
"CO",-8.77940847191198
"CT",12.4290551477672
"DE",-77.8378518822154
"PR",30.3500585835372
"GA",-40.7042056156013
"HI",27.4201449215416
"ID",14.3120682483571
"IL",-31.2496971163613
"IN",-43.7149774031886
"IA",-16.3266295706633
"KS",15.5654804001055
"KY",2.45599259637076
"LA",26.43007110228
"ME",-31.0278054218244
"MD",-8.43396425923005
"MA",22.3869612106377
"MI",-13.2720538527898
"MN",-149.321496248049
"MS",16.3494843036357
"MO",31.6615558645797
"MT",-69.3902055419915
"NE",-28.8873490064114
"NV",68.5831529261781
"NH",44.3077538490435
"NJ",-31.9218861200208
"NM",-150.277563573329
"NC",-25.914394588432
"ND",-34.9368560404185
"OH",-14.6269341523411
"OK",-18.0288285140375
"OR",-45.6010577874295
"PA",28.8445631784372
"PR",9.37740055828477
"RI",4.96532625727512
"SC",-43.6942678680106
"SD",12.4805146991313
"TN",30.4712919912138
"TX",34.7525437668014
"UT",-55.6884986644852
"VT",19.3652288440408
"VA",6.56032888655006
"WA",12.119770589375
"WV",-12.3921693765133
"WI",-104.973253115759
"WY",-21.8813278882884
