"ORDER__INIT","PROFILE_YEAR__C","SECTION_NAME__C","TOPIC_TITLE__C","QUESTION_NUMBER__C","LABEL_TEXT__C"
1,"2015","Section I","1. Structure of State Banking Departments",1,"Is your department independent, or part of a larger agency?"
2,"2015","Section I","1. Structure of State Banking Departments",,"If part of a larger agency provide its name:"
3,"2015","Section I","1. Structure of State Banking Departments",2,"To the best of your knowledge, in the next year is your department going to be affected by a state mandated reorganization?"
4,"2015","Section I","1. Structure of State Banking Departments",,"If yes, please explain."
5,"2015","Section I","2. Institutions Supervised",3,"Please indicate the types of institutions over which your department has supervisory authority and indicate the number and total assets of each type. Please provide information as of 12/31/2015."
6,"2015","Section I","2. Institutions Supervised",,"Authority to Supervise"
7,"2015","Section I","2. Institutions Supervised",,"Number  Supervised"
8,"2015","Section I","2. Institutions Supervised",,"Total Assets, if applicable (Actual Dollar Amount)"
9,"2015","Section I","2. Institutions Supervised",,"Commercial Banks"
10,"2015","Section I","2. Institutions Supervised",,"Commercial Banks -- Authority to Supervise"
11,"2015","Section I","2. Institutions Supervised",,"Commercial Banks -- Number Supervised"
12,"2015","Section I","2. Institutions Supervised",,"Commercial Banks -- Total Assets if applicable"
13,"2015","Section I","2. Institutions Supervised",,"Savings Banks/Savings & Loans"
14,"2015","Section I","2. Institutions Supervised",,"Banker's Banks"
15,"2015","Section I","2. Institutions Supervised",,"Non-depository Trust Companies (Assets Under Management)"
16,"2015","Section I","2. Institutions Supervised",,"Industrial Loan Corporations"
17,"2015","Section I","2. Institutions Supervised",,"Foreign Bank Organizations & Foreign Agencies"
18,"2015","Section I","2. Institutions Supervised",,"One Bank Holding Companies"
19,"2015","Section I","2. Institutions Supervised",,"Multi-Bank Holding Companies"
20,"2015","Section I","2. Institutions Supervised",,"Credit Unions"
21,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks"
22,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks -- Authority to Supervise"
23,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks -- Number Supervised"
24,"2015","Section I","2. Institutions Supervised",,"Credit Card Banks -- Total Assets if applicable"
25,"2015","Section I","2. Institutions Supervised",,"Other Depository"
26,"2015","Section I","2. Institutions Supervised",,"Authority to Supervise"
27,"2015","Section I","2. Institutions Supervised",,"Number Supervised"
28,"2015","Section I","2. Institutions Supervised",,"Minimum Bond/Start-up Requirements (Actual Dollar Amount)"
29,"2015","Section I","2. Institutions Supervised",,"Securities Broker / Dealers & Firms"
30,"2015","Section I","2. Institutions Supervised",,"Check Cashers"
31,"2015","Section I","2. Institutions Supervised",,"Money Transmitters/ Sale of Checks"
32,"2015","Section I","2. Institutions Supervised",,"Consumer Finance Companies"
33,"2015","Section I","2. Institutions Supervised",,"Licensed Lenders"
34,"2015","Section I","2. Institutions Supervised",,"Mortgage Companies"
35,"2015","Section I","2. Institutions Supervised",,"Mortgage Company Branches"
36,"2015","Section I","2. Institutions Supervised",,"Mortgage Loan Originators"
37,"2015","Section I","2. Institutions Supervised",,"Mortgage Servicers"
38,"2015","Section I","2. Institutions Supervised",,"Student Lending"
39,"2015","Section I","2. Institutions Supervised",,"Other Servicing"
40,"2015","Section I","2. Institutions Supervised",,"Debt Collection"
41,"2015","Section I","2. Institutions Supervised",,"Prepaid Cards"
42,"2015","Section I","2. Institutions Supervised",,"Virtual Currency"
43,"2015","Section I","2. Institutions Supervised",,"Escrow Agents"
44,"2015","Section I","2. Institutions Supervised",,"Payday Lenders"
45,"2015","Section I","2. Institutions Supervised",,"Title Lenders"
46,"2015","Section I","2. Institutions Supervised",,"Pawnshops"
47,"2015","Section I","2. Institutions Supervised",,"Insurance Agents & Companies"
48,"2015","Section I","2. Institutions Supervised",,"Appraisers"
49,"2015","Section I","2. Institutions Supervised",,"Credit Counselors"
50,"2015","Section I","2. Institutions Supervised",,"Financial Advisors"
51,"2015","Section I","2. Institutions Supervised",,"Technology Service Providers (Only include technology service providers that have a physical location in your state)"
52,"2015","Section I","2. Institutions Supervised",,"Other Non-Depository"
53,"2015","Section I","2. Institutions Supervised",4,"Does your department supervise any Non-FDIC insured banks?"
54,"2015","Section I","2. Institutions Supervised",,"Number Supervised"
55,"2015","Section I","2. Institutions Supervised",,"Total Assets, if applicable (Actual Dollar Amount)"
56,"2015","Section I","2. Institutions Supervised",,"If yes, do they maintain private deposit insurance?"
57,"2015","Section I","2. Institutions Supervised",5,"Does your department supervise any non-federally insured credit unions?"
58,"2015","Section I","2. Institutions Supervised",,"Number Supervised"
59,"2015","Section I","2. Institutions Supervised",,"Total Assets, if applicable (Actual Dollar Amount)"
60,"2015","Section I","2. Institutions Supervised",6,"Please indicate the number of 4 and 5 rated banks."
61,"2015","Section I","2. Institutions Supervised",,"CY 2015"
62,"2015","Section I","2. Institutions Supervised",,"At the beginning of the calendar year (CY)"
63,"2015","Section I","2. Institutions Supervised",,"Added during the calendar year"
64,"2015","Section I","2. Institutions Supervised",,"Indicate the number of institutions improved  to 3 or higher for the CY"
65,"2015","Section I","2. Institutions Supervised",,"At the end of the calendar year"
66,"2015","Section I","2. Institutions Supervised",,"Indicate the number of failed institutions for the CY"
67,"2015","Section I","2. Institutions Supervised",7,"Please indicate the number of enforcement actions on Insured Depositories (Please do not include information for credit unions)"
68,"2015","Section I","2. Institutions Supervised",,"CY 2015State-Only"
69,"2015","Section I","2. Institutions Supervised",,"CY 2015Joint withFederal Agency"
70,"2015","Section I","2. Institutions Supervised",,"Enforcement Actions at beginning of year"
71,"2015","Section I","2. Institutions Supervised",,"Deleted during the calendar year"
72,"2015","Section I","2. Institutions Supervised",,"Added during the calendar year"
73,"2015","Section I","2. Institutions Supervised",,"At the end of the calendar year"
74,"2015","Section I","2. Institutions Supervised",,"Number by Type"
75,"2015","Section I","2. Institutions Supervised",,"C&D"
76,"2015","Section I","2. Institutions Supervised",,"MOU"
77,"2015","Section I","2. Institutions Supervised",,"Written Agreement"
78,"2015","Section I","2. Institutions Supervised",,"Board Resolution"
79,"2015","Section I","2. Institutions Supervised",,"Consent Orders"
80,"2015","Section I","2. Institutions Supervised",,"Other"
81,"2015","Section I","2. Institutions Supervised",8,"Please indicate the number of enforcement actions on Bank Holding Companies."
82,"2015","Section I","2. Institutions Supervised",,"CY 2015State-Only"
83,"2015","Section I","2. Institutions Supervised",,"CY 2015Joint with  Federal Agency"
84,"2015","Section I","2. Institutions Supervised",,"Enforcement Actions at beginning of year"
85,"2015","Section I","2. Institutions Supervised",,"Deleted during the calendar year"
86,"2015","Section I","2. Institutions Supervised",,"Added during the calendar year"
87,"2015","Section I","2. Institutions Supervised",,"At the end of the calendar year"
88,"2015","Section I","2. Institutions Supervised",,"Number By Type"
89,"2015","Section I","2. Institutions Supervised",,"C&D"
90,"2015","Section I","2. Institutions Supervised",,"MOU"
