"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
233031,12368,0,"State-Chartered","SM","FED","REGIONS BANK","AL",0,9709,16128018,123468752,250242526,474422,4242336,189115,0.1028,"Alabama",11222145,118562879,0.0946514212091627768249453524150674512551
697633,19048,0,"State-Chartered","SM","FED","COMPASS BANK","AL",0,10256,12072904,85247650,170853690,76117,5043197,264022,0.0889,"Alabama",6689568,79864314,0.0837616660677759030147056669140111815147
4262534,4999,0,"National Charter","N","OCC","CADENCE BANK, N.A.","AL",3656,0,1291053,8442453,8790472,20366,307083,67481,0.1186,"Alabama",896123,8047523,0.1113538911289846577636373328787006883982
3348888,57993,0,"State-Chartered","NM","FDIC","SERVISFIRST BANK","AL",0,0,456407,5064663,5095134,1714,13616,23741,0.0871,"Alabama",417336,5025592,0.0830421570234909638506269510139302991568
3275939,57764,0,"National Charter","N","OCC","NATIONAL BANK OF COMMERCE","AL",24497,0,199627,1618224,1761248,2788,50686,12923,0.0905,"Alabama",133230,1551827,0.0858536421907854419339269132448397920645
594433,15310,1,"State-Chartered","NM","FDIC","CB&S BANK, INC.","AL",0,11862,178408,1482221,1515162,877,10401,14180,0.1039,"Alabama",152950,1456763,0.1049930565232642509454180261305373626321
3356191,57997,1,"State-Chartered","NM","FDIC","BRYANT BANK","AL",0,0,127331,1409092,1442418,0,0,286,0.0905,"Alabama",127045,1408806,0.0901792013946561840310163358191262672078
539032,16604,1,"State-Chartered","SM","FED","BANK INDEPENDENT","AL",0,9993,128150,1216001,1229510,181,23764,6095,0.0955,"Alabama",98110,1185961,0.0827261604723932743150913057006090419499
4262543,59060,1,"State-Chartered","NM","FDIC","ALOSTAR BANK OF COMMERCE","AL",0,0,181539,919160,893168,141,0,839,0.1976,"Alabama",180559,918180,0.1966488052451589013047550589209087542748
134437,5598,1,"State-Chartered","NM","FDIC","TROY BANK & TRUST COMPANY","AL",0,9810,86252,843142,849307,0,2892,4091,0.0918,"Alabama",79269,836159,0.0948013475905898280111796919007030959423
749635,35,1,"State-Chartered","SM","FED","AUBURNBANK","AL",0,9177,85529,813722,818004,2316,0,814,0.1019,"Alabama",82399,810592,0.1016528660534522916584422249417709525877
3437157,58255,1,"State-Chartered","NM","FDIC","RIVER BANK & TRUST","AL",0,0,82277,462267,717326,2763,9408,2001,0.1576,"Alabama",68105,448095,0.1519878597172474586862160925696559881275
1394621,27510,1,"State-Chartered","NM","FDIC","METRO BANK","AL",0,17438,89643,670767,684074,0,0,3525,0.1336,"Alabama",86118,667242,0.1290656163730700405550010341075651712572
60330,22537,1,"State-Chartered","NM","FDIC","PEOPLES BANK OF ALABAMA","AL",0,13233,64166,633186,651466,0,4717,149,0.098,"Alabama",59300,628320,0.0943786605551311433664374840845429080723
3690596,58719,1,"State-Chartered","NM","FDIC","PROGRESS BANK AND TRUST","AL",0,0,62998,633640,635254,0,0,2329,0.0992,"Alabama",60669,631311,0.0961000204336689840664902084709437979063
259330,17077,1,"State-Chartered","NM","FDIC","FIRST US BANK","AL",0,10112,76512,556352,575534,0,0,7564,0.1302,"Alabama",68948,548788,0.1256368579487889676887978600115162867993
501132,16175,1,"State-Chartered","NM","FDIC","WEST ALABAMA BANK & TRUST","AL",0,10132,73530,561586,564519,271,7026,2340,0.1207,"Alabama",63893,551949,0.115758883520035365586313228214925654363
